ngram,count
добросовестность чистоплотность пунктуальность,1
чистоплотность пунктуальность осуществляет,1
пунктуальность осуществляет уборку,1
осуществляет уборку служебных,1
уборку служебных помещений,1
служебных помещений коридоров,1
помещений коридоров залов,1
коридоров залов цокольный,1
залов цокольный этаж,1
цокольный этаж лестниц,1
этаж лестниц санузлов,1
лестниц санузлов прилегающей,1
санузлов прилегающей территории,1
прилегающей территории удаляет,1
территории удаляет пыль,1
удаляет пыль подметает,1
пыль подметает моет,2
подметает моет вручную,2
рассмотрю кандидатку лет,1
кандидатку лет должность,1
лет должность администратор,1
должность администратор горничная,1
администратор горничная лет,1
горничная лет аналогичной,1
лет аналогичной должности,1
аналогичной должности встреча,1
должности встреча регистрация,1
встреча регистрация гостей,1
регистрация гостей обеспечение,1
гостей обеспечение комфортного,1
обеспечение комфортного проживания,1
комфортного проживания обработка,1
проживания обработка бронирований,1
обработка бронирований ведение,1
бронирований ведение документации,1
ведение документации контроль,1
документации контроль чистотой,1
контроль чистотой порядком,1
чистотой порядком отеле,1
аналогичный наличие рекомендаций,1
наличие рекомендаций наличие,1
рекомендаций наличие прав,1
наличие прав категории,1
прав категории вождения,1
категории вождения автомобилей,1
вождения автомобилей премиум,1
автомобилей премиум сегмента,1
премиум сегмента умение,1
сегмента умение пользоваться,1
умение пользоваться компьютером,1
пользоваться компьютером уверенный,1
компьютером уверенный пользователь,1
уверенный пользователь интернет,1
пользователь интернет ежедневные,1
интернет ежедневные поездки,1
ежедневные поездки личным,1
поездки личным поручениям,1
личным поручениям сопровождение,1
поручениям сопровождение членов,1
сопровождение членов семьи,1
членов семьи покупки,1
семьи покупки доставка,1
покупки доставка сотрудников,1
доставка сотрудников горничная,1
сотрудников горничная встречи,1
горничная встречи проводы,1
встречи проводы аэропортах,1
аккуратность пунктуальность исполнительность,1
пунктуальность исполнительность уборка,1
исполнительность уборка поддержание,1
уборка поддержание чистоты,3
поддержание чистоты офисе,1
офисной техники сканер,1
техники сканер принтер,1
сканер принтер программ,1
принтер программ microsoft,1
программ microsoft office,2
microsoft office word,2
office word excel,2
word excel пунктуальность,1
excel пунктуальность отзывчивость,1
пунктуальность отзывчивость оптимизм,1
отзывчивость оптимизм доверие,1
оптимизм доверие стрессоустойчивость,1
доверие стрессоустойчивость делового,1
стрессоустойчивость делового этикета,1
делового этикета организовывать,1
этикета организовывать работу,1
организовывать работу курьеров,1
работу курьеров контролировать,1
курьеров контролировать чистоту,1
контролировать чистоту офисе,1
чистоту офисе следить,1
офисе следить качеством,1
следить качеством уборщиц,1
качеством уборщиц обеспечивать,1
уборщиц обеспечивать сотрудников,1
обеспечивать сотрудников корпоративной,1
сотрудников корпоративной сотовой,1
корпоративной сотовой связью,1
сотовой связью оформлять,1
связью оформлять командировки,1
